angle,RawValue,Muscle,MinV,MaxV,AdjustedForce,AdjustedActivation
3.91304347826087,147.560975609756,HA,3,24,0,4.25373134328363
35.2173913043478,156.097560975609,HA,3,24,0,6.44776119402972
74.3478260869565,174.390243902439,HA,3,24,0,11.1492537313433
105.652173913043,200,HA,3,24,0,17.7313432835821
125.217391304347,217.073170731707,HA,3,24,0,22.1194029850746
148.695652173913,224.390243902439,HA,3,24,0,24
172.173913043478,213.414634146341,HA,3,24,0,21.1791044776118
191.739130434782,193.90243902439,HA,3,24,0,16.1641791044776
238.695652173913,169.512195121951,HA,3,24,0,9.8955223880597
281.739130434782,152.439024390243,HA,3,24,0,5.507462686567
316.95652173913,145.121951219512,HA,3,24,0,3.62686567164182
344.347826086956,142.682926829268,HA,3,24,0,3.00000000000001
360,145.121951219512,HA,3,24,0,3.62686567164182
0,28.0487804878047,GLM,12,28,0,16.4
31.3043478260869,58.5365853658536,GLM,12,28,0,21.4
78.2608695652173,86.5853658536584,GLM,12,28,0,26
101.739130434782,98.7804878048779,GLM,12,28,0,28
121.304347826086,97.560975609756,GLM,12,28,0,27.8
148.695652173913,82.9268292682926,GLM,12,28,0,25.4
176.086956521739,56.0975609756096,GLM,12,28,0,21
187.826086956521,43.9024390243902,GLM,12,28,0,19
226.95652173913,14.6341463414634,GLM,12,28,0,14.2
250.434782608695,4.87804878048768,GLM,12,28,0,12.6
277.826086956521,1.21951219512186,GLM,12,28,0,12
313.043478260869,8.53658536585362,GLM,12,28,0,13.2
352.173913043478,28.0487804878047,GLM,12,28,0,16.4
363.91304347826,32.9268292682926,GLM,12,28,0,17.2
336.521739130434,19.5121951219512,GLM,12,28,0,15
7.82608695652174,369.512195121951,RF,3,12,0,12
39.1304347826086,360.975609756097,RF,3,12,0,11.25
46.9565217391304,350,RF,3,12,0,10.2857142857143
62.6086956521739,332.926829268292,RF,3,12,0,8.78571428571425
90,307.317073170731,RF,3,12,0,6.53571428571425
117.391304347826,286.585365853658,RF,3,12,0,4.71428571428569
160.434782608695,271.951219512195,RF,3,12,0,3.42857142857144
199.565217391304,267.073170731707,RF,3,12,0,3
226.95652173913,273.170731707317,RF,3,12,0,3.5357142857143
254.347826086956,276.829268292682,RF,3,12,0,3.8571428571428
273.91304347826,289.024390243902,RF,3,12,0,4.92857142857141
293.478260869565,307.317073170731,RF,3,12,0,6.53571428571425
313.043478260869,325.609756097561,RF,3,12,0,8.14285714285716
324.782608695652,347.560975609756,RF,3,12,0,10.0714285714286
340.434782608695,359.756097560975,RF,3,12,0,11.1428571428571
363.91304347826,363.414634146341,RF,3,12,0,11.4642857142857
7.82608695652174,541.463414634146,GA,10,54,0,10.578947368421
35.2173913043478,547.560975609756,GA,10,54,0,13.4736842105265
62.6086956521739,558.536585365853,GA,10,54,0,18.6842105263156
86.0869565217391,582.926829268292,GA,10,54,0,30.2631578947367
109.565217391304,606.097560975609,GA,10,54,0,41.2631578947368
121.304347826086,614.634146341463,GA,10,54,0,45.3157894736843
133.043478260869,625.609756097561,GA,10,54,0,50.526315789474
160.434782608695,632.926829268292,GA,10,54,0,54
183.91304347826,626.829268292683,GA,10,54,0,51.1052631578951
207.391304347826,607.317073170731,GA,10,54,0,41.8421052631578
234.782608695652,589.024390243902,GA,10,54,0,33.1578947368421
258.260869565217,571.951219512195,GA,10,54,0,25.0526315789475
285.652173913043,558.536585365853,GA,10,54,0,18.6842105263156
324.782608695652,545.121951219512,GA,10,54,0,12.3157894736843
352.173913043478,541.463414634146,GA,10,54,0,10.578947368421
367.826086956521,540.243902439024,GA,10,54,0,10
11.7391304347826,692.682926829268,SO,15,43,0,19.5405405405405
39.1304347826086,708.536585365853,SO,15,43,0,24.4594594594593
50.8695652173913,721.951219512195,SO,15,43,0,28.6216216216216
66.5217391304347,734.146341463414,SO,15,43,0,32.4054054054053
93.9130434782608,756.097560975609,SO,15,43,0,39.2162162162161
121.304347826086,765.853658536585,SO,15,43,0,42.2432432432432
136.95652173913,768.292682926829,SO,15,43,0,43
152.608695652173,762.195121951219,SO,15,43,0,41.108108108108
164.347826086956,751.219512195122,SO,15,43,0,37.7027027027028
176.086956521739,737.80487804878,SO,15,43,0,33.5405405405404
187.826086956521,725.609756097561,SO,15,43,0,29.7567567567568
199.565217391304,710.975609756097,SO,15,43,0,25.2162162162161
215.217391304347,697.560975609756,SO,15,43,0,21.054054054054
230.869565217391,689.024390243902,SO,15,43,0,18.4054054054052
262.173913043478,680.487804878049,SO,15,43,0,15.7567567567568
305.217391304347,678.048780487805,SO,15,43,0,15
348.260869565217,680.487804878049,SO,15,43,0,15.7567567567568
371.739130434782,687.80487804878,SO,15,43,0,18.0270270270269
15.6521739130434,852.439024390244,TA,5,12,0,8.32051282051286
23.4782608695652,841.463414634146,TA,5,12,0,7.51282051282053
46.9565217391304,818.292682926829,TA,5,12,0,5.80769230769234
66.5217391304347,807.317073170731,TA,5,12,0,5.00000000000001
105.652173913043,807.317073170731,TA,5,12,0,5.00000000000001
136.95652173913,812.195121951219,TA,5,12,0,5.35897435897438
156.521739130434,818.292682926829,TA,5,12,0,5.80769230769234
183.91304347826,830.487804878049,TA,5,12,0,6.70512820512827
207.391304347826,837.80487804878,TA,5,12,0,7.24358974358974
