CRANK    SPINDLE     Ft        Fn       TORQUE 
(DEGREES) (DEGREES)   (N)       (N)        (Nm)  
     0.00    -19.65     31.56    -57.68      1.73
     1.00    -19.23     33.48    -64.17      2.00
     2.00    -18.80     34.76    -68.47      2.30
     3.00    -18.31     35.93    -72.58      2.63
     4.00    -17.92     36.97    -76.36      2.96
     5.00    -17.42     37.96    -79.97      3.34
     6.00    -17.00     38.91    -83.71      3.73
     7.00    -16.49     40.03    -88.10      4.19
     8.00    -16.10     41.12    -92.57      4.63
     9.00    -15.58     42.36    -97.88      5.16
    10.00    -15.14     43.47   -102.76      5.69
    11.00    -14.68     44.41   -107.08      6.25
    12.00    -14.23     45.42   -111.79      6.85
    13.00    -13.75     46.38   -116.46      7.49
    14.00    -13.25     47.28   -121.03      8.15
    15.00    -12.83     48.26   -126.13      8.84
    16.00    -12.32     49.28   -131.47      9.61
    17.00    -11.86     50.26   -136.89     10.40
    18.00    -11.36     51.19   -142.28     11.23
    19.00    -10.90     52.15   -147.97     12.10
    20.00    -10.43     52.94   -152.94     12.96
    21.00    -10.03     53.84   -158.77     13.86
    22.00     -9.57     54.69   -164.70     14.83
    23.00     -9.11     55.51   -170.60     15.83
    24.00     -8.59     56.27   -176.40     16.89
    25.00     -8.14     56.92   -181.79     17.91
    26.00     -7.67     57.60   -187.75     19.01
    27.00     -7.26     58.24   -193.49     20.08
    28.00     -6.82     58.92   -200.16     21.27
    29.00     -6.38     59.43   -205.98     22.42
    30.00     -5.94     59.88   -211.23     23.54
    31.00     -5.47     60.31   -216.94     24.74
    32.00     -5.08     60.79   -224.13     26.04
    33.00     -4.66     61.18   -230.60     27.32
    34.00     -4.21     61.44   -236.20     28.56
    35.00     -3.84     61.70   -242.27     29.82
    36.00     -3.44     61.91   -249.04     31.18
    37.00     -3.04     62.03   -254.34     32.41
    38.00     -2.65     62.13   -260.09     33.70
    39.00     -2.22     62.19   -266.63     35.10
    40.00     -1.88     62.20   -272.61     36.41
    41.00     -1.55     62.17   -278.37     37.71
    42.00     -1.15     62.12   -283.99     39.04
    43.00     -0.79     62.05   -289.76     40.38
    44.00     -0.44     61.91   -295.54     41.72
    45.00     -0.06     61.73   -302.03     43.18
    46.00      0.24     61.55   -307.25     44.44
    47.00      0.57     61.36   -312.38     45.72
    48.00      0.85     61.11   -318.55     47.10
    49.00      1.24     60.79   -325.77     48.68
    50.00      1.47     60.50   -331.26     49.97
    51.00      1.80     60.24   -335.70     51.18
    52.00      2.06     59.99   -340.22     52.35
